toyokumo_id,nest_level,prefectures_name,zone_name,region_name,city_name
412,2,山梨県,山梨,山梨県東部・富士五湖,富士吉田市、都留市、大月市、上野原市、南都留郡［道志村、西桂町、忍野村、山中湖村、鳴沢村、富士河口湖町］、北都留郡［小菅村、丹波山村］
411,2,山梨県,山梨,山梨県中・西部,甲府市、山梨市、韮崎市、南アルプス市、北杜市、甲斐市、笛吹市、甲州市、中央市、西八代郡［市川三郷町］、南巨摩郡［早川町、身延町、南部町、富士川町］、中巨摩郡［昭和町］
420,2,長野県,長野,長野県北部,長野市、須坂市、中野市、大町市、飯山市、千曲市、北安曇郡［池田町、松川村、白馬村、小谷村］、埴科郡［坂城町］、上高井郡［小布施町、高山村］、下高井郡［山ノ内町、木島平村、野沢温泉村］、上水内郡［信濃町、小川村、飯綱町］、下水内郡［栄村］
421,2,長野県,長野,長野県中部,松本市、上田市、岡谷市、諏訪市、小諸市、茅野市、塩尻市、佐久市、東御市、安曇野市、南佐久郡［小海町、川上村、南牧村、南相木村、北相木村、佐久穂町］、北佐久郡［軽井沢町、御代田町、立科町］、小県郡［青木村、長和町］、諏訪郡［下諏訪町、富士見町、原村］、東筑摩郡［麻績村、生坂村、山形村、朝日村、筑北村］
422,2,長野県,長野,長野県南部,飯田市、伊那市、駒ヶ根市、上伊那郡［辰野町、箕輪町、飯島町、南箕輪村、中川村、宮田村］、下伊那郡［松川町、高森町、阿南町、阿智村、平谷村、根羽村、下條村、売木村、天龍村、泰阜村、喬木村、豊丘村、大鹿村］、木曽郡［上松町、南木曽町、木祖村、王滝村、大桑村、木曽町］
430,2,岐阜県,岐阜,岐阜県飛騨,高山市、飛騨市、下呂市、大野郡［白川村］
431,2,岐阜県,岐阜,岐阜県美濃東部,多治見市、中津川市、瑞浪市、恵那市、美濃加茂市、土岐市、可児市、加茂郡［坂祝町、富加町、川辺町、七宗町、八百津町、白川町、東白川村］、可児郡［御嵩町］
432,2,岐阜県,岐阜,岐阜県美濃中西部,岐阜市、大垣市、関市、美濃市、羽島市、各務原市、山県市、瑞穂市、本巣市、郡上市、海津市、羽島郡［岐南町、笠松町］、養老郡［養老町］、不破郡［垂井町、関ケ原町］、安八郡［神戸町、輪之内町、安八町］、揖斐郡［揖斐川町、大野町、池田町］、本巣郡［北方町］
440,2,静岡県,静岡,静岡県伊豆,熱海市、伊東市、下田市、伊豆市、伊豆の国市、賀茂郡［東伊豆町、河津町、南伊豆町、松崎町、西伊豆町］、田方郡［函南町］
441,2,静岡県,静岡,静岡県東部,沼津市、三島市、富士宮市、富士市、御殿場市、裾野市、駿東郡［清水町、長泉町、小山町］
442,2,静岡県,静岡,静岡県中部,静岡市、島田市、焼津市、藤枝市、牧之原市、榛原郡［吉田町、川根本町］
443,2,静岡県,静岡,静岡県西部,浜松市、磐田市、掛川市、袋井市、湖西市、御前崎市、菊川市、周智郡［森町］
450,2,愛知県,愛知,愛知県東部,豊橋市、豊川市、蒲郡市、新城市、田原市、北設楽郡［設楽町、東栄町、豊根村］
451,2,愛知県,愛知,愛知県西部,名古屋市、岡崎市、一宮市、瀬戸市、半田市、春日井市、津島市、碧南市、刈谷市、豊田市、安城市、西尾市、犬山市、常滑市、江南市、小牧市、稲沢市、東海市、大府市、知多市、知立市、尾張旭市、高浜市、岩倉市、豊明市、日進市、愛西市、清須市、北名古屋市、弥富市、みよし市、あま市、長久手市、愛知郡［東郷町］、西春日井郡［豊山町］、丹羽郡［大口町、扶桑町］、海部郡［大治町、蟹江町、飛島村］、知多郡［阿久比町、東浦町、南知多町、美浜町、武豊町］、額田郡［幸田町］
460,2,三重県,三重,三重県北部,四日市市、桑名市、鈴鹿市、亀山市、いなべ市、桑名郡［木曽岬町］、員弁郡［東員町］、三重郡［菰野町、朝日町、川越町］
461,2,三重県,三重,三重県中部,津市、松阪市、名張市、伊賀市、多気郡の一部（多気町、明和町）
